                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0888,                 5.0007,                 4.2869,                0.00048,                    0.1,                0.00055,                0.00011,                 2.6484,                  5.079,                  4.159,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 3.0735,                  4.979,                  4.204,                0.00045,                    0.1,                0.00089,                0.00018,                 2.6482,                 5.0815,                 4.1586,             8.6634e-05,             8.6634e-05,             8.6634e-05
                      3,                  2.967,                 4.8145,                  4.258,                0.00045,                    0.1,                0.00112,                0.00011,                 2.6479,                 5.0835,                 4.1575,             0.00013478,             0.00013478,             0.00013478
                      4,                 3.3114,                 4.9479,                 4.1797,                0.00047,                    0.1,                0.00125,                0.00022,                 2.6473,                 5.0836,                 4.1551,             0.00018193,             0.00018193,             0.00018193
                      5,                 3.0367,                 4.8337,                 4.1565,                0.00048,                    0.1,                0.00103,                0.00013,                 2.6518,                 5.0737,                  4.152,             0.00022809,             0.00022809,             0.00022809
                      6,                 3.1315,                 4.7485,                 4.1232,                0.00046,                    0.1,                0.00146,                0.00018,                  2.665,                 5.0455,                 4.1452,             0.00027327,             0.00027327,             0.00027327
                      7,                 3.1147,                 4.6547,                 4.1173,                0.00042,                    0.1,                0.00693,                0.00081,                 2.6538,                  5.046,                 4.1357,             0.00031745,             0.00031745,             0.00031745
                      8,                 3.0697,                 4.6439,                 4.0876,                0.00038,                    0.1,                0.01021,                0.00178,                 2.6374,                 5.0384,                 4.1217,             0.00036065,             0.00036065,             0.00036065
                      9,                 3.0385,                  4.488,                 3.9889,                0.00057,                   0.15,                0.06716,                0.00855,                 2.6186,                  5.024,                  4.102,             0.00040285,             0.00040285,             0.00040285
                     10,                  3.177,                 4.5398,                 4.0518,                0.00057,                   0.15,                0.06735,                0.00885,                 2.5928,                 5.0062,                 4.0793,             0.00044406,             0.00044406,             0.00044406
                     11,                 3.0728,                 4.4601,                 3.9926,                 0.0006,                   0.15,                0.09103,                0.01174,                 2.5099,                 4.9941,                 4.0455,             0.00048429,             0.00048429,             0.00048429
                     12,                 2.8878,                 4.3773,                 3.9317,                0.00098,                0.29167,                0.04158,                0.01113,                 2.3962,                 5.0344,                 3.9738,             0.00052352,             0.00052352,             0.00052352
                     13,                 2.9541,                 4.2575,                 3.9073,                  0.001,                0.29167,                0.24889,                0.06543,                 2.4255,                 4.9558,                 3.9293,             0.00056176,             0.00056176,             0.00056176
                     14,                 2.8994,                 4.1318,                 3.8199,                0.00107,                0.29167,                0.24055,                0.06001,                  2.432,                 4.8973,                 3.9289,             0.00059902,             0.00059902,             0.00059902
                     15,                 2.9438,                 4.2328,                 3.8211,                0.00127,                0.33333,                0.13557,                0.02321,                 2.4189,                 4.8139,                 3.9364,             0.00063528,             0.00063528,             0.00063528
                     16,                 2.7362,                 3.7764,                 3.7185,                0.00126,                0.33333,                0.07692,                0.01411,                 2.4265,                 4.7796,                 3.9127,             0.00067056,             0.00067056,             0.00067056
                     17,                 2.7957,                 3.7877,                 3.6358,                0.00129,                0.33333,                0.13815,                0.02323,                 2.4066,                 4.7879,                 3.8947,             0.00070484,             0.00070484,             0.00070484
                     18,                 2.9373,                 3.7933,                  3.697,                0.00131,                0.29167,                0.18033,                0.02531,                 2.4111,                  4.758,                 3.9155,             0.00073813,             0.00073813,             0.00073813
                     19,                 2.5566,                 3.6825,                 3.4795,                0.00109,                   0.25,                0.18163,                0.02587,                 2.4822,                 4.7449,                 3.9592,             0.00077044,             0.00077044,             0.00077044
                     20,                  2.583,                 3.3942,                 3.4179,                0.00065,                   0.15,                0.08739,                0.01233,                 2.4962,                 4.7903,                   4.02,             0.00080175,             0.00080175,             0.00080175
                     21,                 2.6843,                 3.7265,                 3.4377,                0.00107,                   0.25,                 0.1902,                0.03171,                 2.5227,                 4.8152,                 3.9169,             0.00083208,             0.00083208,             0.00083208
                     22,                 2.6952,                 3.6025,                 3.4107,                0.00147,                0.33333,                0.18948,                0.03356,                 2.4587,                 4.8601,                 3.8015,             0.00086141,             0.00086141,             0.00086141
                     23,                 2.7893,                 3.5064,                 3.3561,                0.00128,                0.29167,                0.18986,                0.04004,                 2.4597,                 4.7858,                 3.7801,             0.00088975,             0.00088975,             0.00088975
                     24,                  2.612,                 3.5061,                 3.3067,                0.00155,                0.33333,                0.06938,                0.02916,                 2.4547,                 4.6977,                 3.8314,             0.00091711,             0.00091711,             0.00091711
                     25,                 2.6555,                 3.4089,                 3.3059,                0.00147,                0.29167,                0.00188,                0.00075,                 2.4077,                 4.6863,                 3.8645,             0.00094347,             0.00094347,             0.00094347
                     26,                 2.5934,                 3.2817,                  3.282,                  0.002,                0.33333,                0.00379,                0.00151,                 2.3762,                 4.6834,                 3.8157,             0.00094062,             0.00094062,             0.00094062
                     27,                 2.7125,                 3.4487,                 3.3136,                0.00254,                0.33333,                0.00367,                 0.0014,                 2.3668,                 4.6838,                   3.83,             0.00094062,             0.00094062,             0.00094062
                     28,                 2.6117,                 3.3683,                 3.2273,                0.00286,                0.33333,                0.00374,                0.00124,                 2.3741,                  4.682,                  3.876,             0.00092825,             0.00092825,             0.00092825
                     29,                 2.6306,                 3.4691,                 3.1937,                0.00268,                0.33333,                 0.0039,                0.00114,                 2.3852,                 4.6936,                 3.8702,             0.00091588,             0.00091588,             0.00091588
                     30,                 2.4116,                 3.1905,                 3.1956,                 0.0019,                0.33333,                0.00388,                0.00112,                 2.3895,                 4.7122,                 3.8264,              0.0009035,              0.0009035,              0.0009035
                     31,                 2.4183,                 3.0577,                  3.073,                0.00169,                0.33333,                 0.0093,                0.00196,                 2.3836,                 4.7435,                 3.7569,             0.00089112,             0.00089112,             0.00089112
                     32,                 2.4483,                 3.3161,                 3.1284,                0.00174,                0.33333,                0.00361,                 0.0008,                 2.3871,                 4.7492,                 3.9024,             0.00087875,             0.00087875,             0.00087875
                     33,                 2.3772,                 3.2766,                 3.1147,                 0.0015,                0.33333,                0.11448,                0.02079,                 2.2862,                 4.7572,                 3.8577,             0.00086637,             0.00086637,             0.00086637
                     34,                 2.3598,                 3.1434,                 3.0548,                0.00157,                0.58333,                0.07034,                0.02327,                 2.2853,                  4.635,                 3.6204,               0.000854,               0.000854,               0.000854
                     35,                 2.4424,                  2.919,                 2.9894,                0.00768,                0.54167,                0.34682,                0.21323,                 2.1964,                 4.3762,                 3.1367,             0.00084162,             0.00084162,             0.00084162
                     36,                 2.4686,                 3.2505,                 3.1246,                0.93967,                   0.25,                0.36392,                0.21024,                 2.0777,                 4.2102,                 2.9559,             0.00082925,             0.00082925,             0.00082925
                     37,                 2.4226,                 3.0227,                 2.9849,                0.83249,                   0.25,                0.47809,                0.25682,                 1.9883,                 4.0262,                 2.7788,             0.00081688,             0.00081688,             0.00081688
                     38,                 2.3591,                 3.0349,                 2.9446,                 0.4862,                0.48333,                0.54798,                0.26247,                 1.9755,                 3.6631,                 2.6435,              0.0008045,              0.0008045,              0.0008045
                     39,                 2.1958,                  2.939,                 2.9069,                0.66278,                0.38279,                0.60014,                0.32483,                 2.0213,                 3.4651,                 2.6307,             0.00079213,             0.00079213,             0.00079213
                     40,                 2.2907,                 3.0155,                 2.8816,                0.44225,                0.70652,                0.63788,                0.32887,                 1.9281,                 3.7395,                 2.5338,             0.00077975,             0.00077975,             0.00077975
                     41,                 2.1736,                  2.737,                 2.7461,                0.64741,                0.56489,                0.64632,                0.33604,                 1.8776,                 3.6522,                 2.4752,             0.00076738,             0.00076738,             0.00076738
                     42,                 2.3017,                 2.8113,                 2.8445,                0.89689,                 0.4518,                0.74531,                0.41261,                 1.7942,                 3.4592,                  2.411,               0.000755,               0.000755,               0.000755
                     43,                 2.1965,                 2.6785,                 2.7805,                0.60737,                0.63223,                0.74912,                0.43163,                 1.7114,                 3.5865,                 2.3634,             0.00074263,             0.00074263,             0.00074263
                     44,                 2.2554,                 2.8467,                 2.8308,                0.37551,                  0.525,                0.61258,                0.34298,                 1.7481,                 3.5221,                 2.3459,             0.00073025,             0.00073025,             0.00073025
                     45,                 2.1795,                 2.8804,                  2.755,                0.76111,                    0.4,                0.61204,                 0.3491,                 1.8685,                 3.7681,                 2.4303,             0.00071788,             0.00071788,             0.00071788
                     46,                 2.2323,                 2.7645,                 2.9152,                0.64799,                0.49265,                0.55399,                0.26904,                 1.7925,                 3.6094,                 2.4358,              0.0007055,              0.0007055,              0.0007055
                     47,                 2.0026,                 2.7826,                 2.7053,                0.98199,                    0.2,                0.62137,                0.28508,                 1.7676,                 3.5817,                 2.4704,             0.00069313,             0.00069313,             0.00069313
                     48,                 2.0879,                 2.5625,                 2.7865,                0.84904,                   0.25,                0.62584,                0.29102,                 1.7637,                  3.668,                 2.5015,             0.00068075,             0.00068075,             0.00068075
                     49,                 2.0842,                 2.5324,                 2.8082,                0.91087,                    0.2,                0.78529,                0.48275,                 1.7267,                  3.434,                 2.4593,             0.00066838,             0.00066838,             0.00066838
                     50,                  2.038,                 2.5211,                 2.6861,                0.52066,                0.77291,                  0.959,                0.55296,                 1.7716,                  3.091,                 2.4488,               0.000656,               0.000656,               0.000656
                     51,                 2.1367,                 2.6228,                 2.7603,                0.52881,                0.79099,                0.95619,                 0.6013,                 1.6885,                 3.0608,                 2.4005,             0.00064362,             0.00064362,             0.00064362
                     52,                 2.0582,                 2.4559,                 2.6617,                0.62233,                0.83333,                0.88435,                0.58303,                 1.5649,                 3.3669,                  2.356,             0.00063125,             0.00063125,             0.00063125
                     53,                 2.1055,                 2.5217,                 2.8174,                0.81154,                0.79167,                0.83682,                 0.4895,                 1.5395,                 3.3832,                 2.3568,             0.00061887,             0.00061887,             0.00061887
                     54,                 2.0599,                 2.5493,                 2.7073,                0.77862,                0.71792,                0.90517,                0.53677,                 1.5179,                 3.3555,                 2.3475,              0.0006065,              0.0006065,              0.0006065
                     55,                 2.1371,                 2.5148,                 2.6968,                0.49074,                0.79167,                0.79802,                0.49159,                 1.6257,                  3.359,                 2.4262,             0.00059413,             0.00059413,             0.00059413
                     56,                 2.0505,                 2.6189,                 2.6504,                 0.4354,                0.88539,                0.77252,                0.45511,                 1.6358,                    3.3,                 2.4219,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.9285,                 2.4816,                 2.5888,                0.56414,                0.79167,                0.81769,                0.48858,                 1.5388,                  3.119,                  2.369,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.8991,                 2.3705,                   2.54,                0.60215,                  0.625,                0.75402,                0.47743,                 1.5312,                 3.3401,                 2.3758,               0.000557,               0.000557,               0.000557
                     59,                 1.9354,                 2.4113,                 2.5663,                 0.5243,                0.55863,                0.65364,                0.41022,                 1.6167,                  3.598,                 2.3954,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.9651,                 2.4298,                 2.5884,                0.48237,                 0.6555,                0.82301,                0.50146,                 1.6066,                 3.2905,                 2.3634,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.9401,                 2.4129,                 2.5427,                0.46475,                0.58333,                0.84558,                0.47938,                 1.5705,                 3.1795,                  2.346,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.9508,                 2.3628,                 2.6258,                0.75854,                0.54167,                0.79812,                0.43612,                 1.6704,                 3.2413,                 2.3891,              0.0005075,              0.0005075,              0.0005075
                     63,                 1.9221,                 2.3585,                 2.5175,                0.71263,                0.58333,                0.73188,                  0.413,                 1.7429,                 3.3293,                  2.465,             0.00049513,             0.00049513,             0.00049513
                     64,                 1.9013,                 2.3478,                 2.5417,                0.63852,                 0.6306,                 0.7312,                0.42769,                 1.6789,                 3.1275,                 2.4411,             0.00048275,             0.00048275,             0.00048275
                     65,                 1.9842,                 2.3014,                 2.5811,                0.69164,                   0.75,                0.80045,                0.49711,                 1.4926,                 2.7441,                 2.3187,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.9516,                 2.2869,                 2.6831,                0.59497,                0.91667,                0.89768,                0.51908,                 1.5242,                 2.6327,                  2.334,               0.000458,               0.000458,               0.000458
                     67,                 1.8059,                 2.1665,                 2.4571,                0.64838,                0.90911,                0.88124,                0.49563,                 1.5172,                 2.6807,                 2.3407,             0.00044563,             0.00044563,             0.00044563
                     68,                 1.8304,                 2.2984,                 2.5365,                0.64066,                0.91667,                0.91161,                0.50694,                 1.5131,                 2.5473,                 2.3022,             0.00043325,             0.00043325,             0.00043325
                     69,                 1.9676,                 2.2914,                 2.5624,                0.62824,                0.86948,                0.95852,                0.51082,                 1.6572,                 2.6788,                 2.3863,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.8378,                 2.1279,                 2.4698,                 0.9541,                    0.5,                0.93671,                0.47219,                 1.6771,                 3.4306,                 2.4342,              0.0004085,              0.0004085,              0.0004085
                     71,                  1.838,                 2.2349,                 2.6338,                0.55465,                0.74712,                0.65802,                 0.2116,                 1.9958,                 4.7201,                 2.6385,             0.00039613,             0.00039613,             0.00039613
                     72,                 1.8828,                 2.1242,                 2.5644,                0.54222,                0.85856,                0.66628,                 0.1923,                 2.1273,                 5.5987,                 2.7138,             0.00038375,             0.00038375,             0.00038375
                     73,                 1.9396,                 2.1733,                 2.4705,                0.54042,                0.54167,                0.63241,                0.17639,                 2.2754,                 5.5251,                 2.8031,             0.00037138,             0.00037138,             0.00037138
                     74,                  1.724,                 2.1264,                 2.4813,                 0.8051,                0.83294,                0.93772,                0.34945,                 1.9336,                 2.8672,                 2.5562,               0.000359,               0.000359,               0.000359
                     75,                 1.8864,                 2.0363,                 2.4572,                0.78869,                   0.79,                 0.9379,                0.52892,                 1.5474,                  2.666,                 2.3148,             0.00034663,             0.00034663,             0.00034663
                     76,                 1.7094,                 2.1839,                 2.4659,                0.68242,                0.83147,                0.89158,                0.58549,                 1.4019,                 2.8438,                 2.2529,             0.00033425,             0.00033425,             0.00033425
                     77,                 1.7818,                  2.149,                 2.4932,                0.66133,                   0.75,                0.82696,                0.53746,                  1.412,                 2.7912,                 2.2479,             0.00032188,             0.00032188,             0.00032188
                     78,                 1.9422,                 2.3479,                  2.518,                0.47904,                0.83333,                0.83277,                0.54493,                 1.4716,                 2.6283,                 2.2754,              0.0003095,              0.0003095,              0.0003095
                     79,                 1.7026,                 2.1442,                 2.3923,                0.58323,                0.83333,                0.82885,                0.51076,                 1.5217,                  2.581,                  2.307,             0.00029713,             0.00029713,             0.00029713
                     80,                 1.5878,                 2.0253,                  2.369,                0.66526,                0.77127,                0.85125,                0.53808,                 1.5333,                  2.589,                  2.319,             0.00028475,             0.00028475,             0.00028475
                     81,                 1.5333,                 1.9134,                 2.2519,                0.86729,                0.74365,                  0.915,                0.60362,                 1.4119,                 2.4569,                 2.2369,             0.00027237,             0.00027237,             0.00027237
                     82,                 1.6171,                 2.0275,                 2.3596,                0.92149,                0.71544,                0.93137,                0.61882,                 1.3027,                 2.4478,                 2.1715,                0.00026,                0.00026,                0.00026
                     83,                 1.7106,                 2.2496,                 2.4067,                   0.85,                0.84065,                0.94786,                0.62765,                 1.2807,                  2.404,                 2.1355,             0.00024762,             0.00024762,             0.00024762
                     84,                 1.5797,                  1.949,                 2.2507,                0.78062,                0.87299,                0.93708,                0.61353,                 1.2818,                 2.3624,                 2.1098,             0.00023525,             0.00023525,             0.00023525
                     85,                 1.5469,                 1.8554,                 2.3074,                0.70966,                0.92993,                0.95771,                0.65032,                 1.2737,                 2.2985,                 2.0984,             0.00022288,             0.00022288,             0.00022288
                     86,                 1.5473,                 1.8431,                 2.2961,                 0.8231,                0.90111,                0.95771,                0.65478,                  1.263,                  2.263,                 2.0804,              0.0002105,              0.0002105,              0.0002105
                     87,                 1.6264,                 1.8785,                 2.3064,                0.86189,                0.86179,                0.95771,                0.65134,                 1.2543,                 2.2578,                  2.096,             0.00019813,             0.00019813,             0.00019813
                     88,                 1.6449,                 1.8906,                 2.3013,                0.85186,                0.85043,                0.94938,                0.63776,                 1.2601,                 2.2119,                  2.136,             0.00018575,             0.00018575,             0.00018575
                     89,                 1.6097,                 1.9428,                 2.2725,                0.84412,                0.90367,                0.96167,                0.63214,                 1.2357,                 2.2025,                 2.1185,             0.00017338,             0.00017338,             0.00017338
                     90,                 1.5654,                 1.9948,                 2.3453,                0.83864,                0.92663,                   0.97,                0.67228,                 1.2239,                 2.2574,                 2.0711,               0.000161,               0.000161,               0.000161
                     91,                 1.5077,                 2.2034,                 2.3742,                0.74506,                0.87622,                0.95625,                0.63742,                 1.3562,                 2.4314,                 2.1172,             0.00014862,             0.00014862,             0.00014862
                     92,                 1.3525,                 2.1685,                 2.2416,                0.85435,                 0.6973,                0.92074,                 0.5126,                 1.6227,                 2.5429,                 2.2677,             0.00013625,             0.00013625,             0.00013625
                     93,                  1.273,                 2.2238,                 2.1873,                0.83003,                0.67296,                0.88771,                0.43468,                 1.8244,                 2.5137,                 2.4019,             0.00012387,             0.00012387,             0.00012387
                     94,                 1.3674,                 2.2821,                 2.3082,                0.66769,                0.85121,                0.91521,                0.40479,                 1.8714,                 2.4501,                 2.4625,              0.0001115,              0.0001115,              0.0001115
                     95,                 1.4757,                 2.1135,                 2.2772,                0.67413,                0.90603,                0.94821,                0.44868,                 1.8307,                  2.419,                 2.4508,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                 1.3164,                 2.0234,                 2.2074,                0.73309,                0.99495,                0.96071,                0.49409,                 1.7251,                 2.4017,                 2.3839,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                 1.4129,                 2.0436,                 2.2438,                 0.8294,                0.97391,                0.96643,                0.56152,                 1.6119,                 2.2867,                 2.2864,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                  1.339,                 2.0358,                 2.1745,                0.85226,                0.97469,                0.96643,                0.57212,                 1.4852,                 2.1816,                 2.1839,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                 1.4986,                 2.1706,                 2.4482,                0.89485,                 0.9141,                0.98071,                0.62721,                 1.3882,                 2.1151,                 2.1242,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                 1.3226,                  1.982,                 2.2578,                0.88357,                0.92801,                0.98071,                0.64419,                 1.3281,                 2.0702,                 2.0905,              3.725e-05,              3.725e-05,              3.725e-05
